review,name
너의 세상이라면 숨이 없더라도 잠겨 들어갈게 그곳에서 너의 손끝을 읽을게,청설
완전 말랑말랑하고 무해하고 깨끗하고 청순한 홍경 노윤서가 만들어낸 오랫만에 재미있게 본 청춘물 영화 대도시의 사랑법이 내가 겪어보지 못한 이십대라면 청설은 딱 내가 느꼈던,청설
원작보다 청량하고 한국적으로 잘 리메이크 된 듯하다,청설
여름은 가을보다 먼저 온 계절이라 가을을 지켜줘야 한다고 생각했지만 각자의 계절이 있듯이 각자의 인생을 온전히 누리길 바란다 간만에 꽤 만족스러운 각색 청량 청춘 로맨스 영화,청설
진짜 너무재밌어요 잔잔하면서 도 감동을 주는 영화 노윤서 이쁘다,청설
싱그러운 그 여름이 누구에게나 따뜻했기를,청설
풋풋함을 극장에서 오랜만에 느껴봄,청설
청춘 로맨스 맛집 내용자체는 뻔하다고 생각할수 있지만 잔잔한 감동과 영화가 주는 메세지들이 전달이 잘되어서 최고였어요,청설
맑고 싱그러움이 영화화된다면 딱 이 영화일 거 같다,청설
뻔한 내용같지만 배우들 연기에서 진심이 느껴져서 상영내내 전혀 지루하지 않았어요 한번 봤지만 또 보고 싶은 생각이 드는건 왜일까요 볼매인 청설,청설
청설,청설
여름아 널 만난 게 내 인생에서 제일 잘한 일이야,청설
영화의 배경과 배우들의 연기가 정말 다시보고싶게끔 했구요 로맨스도 있었지만 가족애도 느껴져서 잔잔한 감동이 남는 영화였어요,청설
한국화 대성공,청설
눈으로 보는 소리,청설
따스한 햇살로 이루어진 하늘에 낀 몇몇의 먹구름 하지만 그 먹구름이 날씨 전체적인 분위기는 망치지는 않는다,청설
아롱다롱한 감정들이 손끝에서 선명해지던 순간들,청설
서로를 듣게 하는 건 청아한 마음 세상을 보게 하는 건 수평적 언어 원작을 둥글게 다듬고 사랑스러움을 칠하다,청설
잔잔한 영화지만 내 마음속에 쓰나미를 일으킨 영화,청설
옛 추억에 빠져든 하루였네요 굿,청설
물속에 제 발로 들어가 수면을 바라보는 소녀 덩달아 뒤따라 들어간 소년 그로 인해 변한 물결의 파장,청설
소리없는 대사로 가득찬 따뜻함,청설
청춘 배우들이 보여주는 청춘 무더웠던 여름이 아니라 싱그러웠던 여름,청설
세상이라는 수영장 속 청춘 남녀가 소리 없이 수어를 통해 눈으로 보여주는 소리가 나를 미소 짓게 한다,청설
손끝에서 피어난 모든 감정을 보고 읽고 느끼다,청설
마음을 표현하는 모습들에 웃음만 났던 영화 싱그러움만 가득해서 보는 내내 기분이 좋았다,청설
너무 좋았던 특유의 무해함과 따뜻함 수어가 되게 로맨틱하게 느껴지기도 했던,청설
배우들의 싱그러움에 미소가 절로 나온다,청설
한국 정서엔 맞지 않는듯 하다,청설
여러모로 마음이 뭉클하면서 따수워지는 청춘의 대명사 영화 안 본 사람은 있어도 한 번만 본 사람은 없을 영화,청설
보는내내 입가에 미소가 지어지네요 잔잔하지만 싱그러운 영화네요 노윤서 홍경 배우 연기호흡도 좋고요,청설
적당한 로맨스와 실존주의적 질문이 잘 어울어진 영화,청설
노윤서랑 민주 개이쁨,청설
간만에 예쁘고 풋풋하고 설렘 가득한 그리고 너무 따뜻하고 사랑스러운 청춘 그 자체의 영화를 만날 수 있어서 행복했다,청설
가족을 위해 헌신했던 한 여인의 청량하고 따스한 성장드라마,청설
귀엽,청설
목소리가 나오는 대화를 하지 않아도 온전하게 느껴지는 감정이 포인트였다,청설
연애하고 싶게 만드는 드라마,청설
공기 없이도 울리는 것이 있다,청설
들리지 않아도 보이는 아름다움,청설
청설이라는 제목이 딱 맞게 너무 귀엽고 파릇파릇하다 중간 중간 코믹한 장면이 꽤 있었지만 대사가 거의 없고 뻔한 로맨스 스토리라 루즈하게 느껴지기도 했다 그나저나 너무 귀엽다,청설
살짝 올드하지만 가을에 만나는 여름은 싱그럽습니다,청설
삭막한 현실 속 인류애 상승하고 싶을때 추천,청설
여름이었다 의 그 자체,청설
영화가 끝나는 게 아쉬웠다 이들의 일상에 녹아들고 싶다,청설
순하고 착한 영화 시각장애인의 삶에 대해 생각하게 만든다,청설
들리지 않고 말하지 않아도 전해지는 사랑 의 소리에 대하여,청설
굿,청설
많은 사운드가 들어가지않아서 더 몰입감이 좋았던 순수한 연기를 잘 해줘서 영화 의도에 맞게 잘 순수함을 느낄 수 있었다,청설
시리도록 싱그럽고 아릿하게 투명했던 그때의 여름,청설
