review,name
캐릭터들이 매력적이고 팀버튼 스럽다 못 본사람들은 꼭 보길바란다,웬즈데이
마지막 화가 조금 아쉽지만 캐릭터와 그들의 하이틴스러운 케미가 참 매력적이다,웬즈데이
기괴하고 유쾌한 분위기의 팀버튼 틴에이지 성장 로맨스물 스몰빌 크리에이터들이 만나 일궈낸 웰메이드 슈퍼내추럴 코미디 호러 드라마,웬즈데이
진짜 최고 캐릭터 설정도 너무 좋고 상상과 현실의 그 경계에 있으면서 과연 그 누구나 상상할 법한 소재가 아닌 그 누구도 생각해보지 못한 소재가 너무 매력적으로 느껴진다,웬즈데이
오랜만에 만난 취향 적당히 음산하고 너무 유치하지도 혹은 너무 딥하지도 않아서 좋았음 굳이 따지자면 유치하고 귀여운 추리에 좀 더 가깝긴 함 그래도 추천 완성도가 높음,웬즈데이
팀버튼의 영상미는 취향을 쏴버림,웬즈데이
양산형 넷플릭스 드라마 속에 스며드는 팀버튼 특유의 고딕 캐릭터,웬즈데이
어린 주연 배우의 연기가 작품 분위기에 스며들었다 무엇보다도 가 너무 좋았다 시즌 가 기대 된다,웬즈데이
팀 버튼 제발 애니메이션을 만들어,웬즈데이
별종들도 모두 결국에 똑같은 사람이라는 것을 잊어서는 안 됩니다,웬즈데이
정말 한번 시작하면 엔딩까지 보게 되는 매력이 있습니다,웬즈데이
내가 동경하던 어른들을 위한 잔혹동화를 만들던 팀 버튼은 없어졌다 자신을 잃은 그의 모습이 슬프지만 그래도 이정도라면 웃으며 보낼 순 있을 것 같다,웬즈데이
달콤살벌한 해리포터 전설이 현실과 만날때,웬즈데이
팀버튼 특유의 분위기가 하이틴의 과한 맛을 적절히 유머러스하게 넘길 수 있도록 도와줌 가볍게 볼만함,웬즈데이
회마다 급 전개되는 스토리와 각 사건마다 중심되는 인물이 달라지며 팀버튼의 작품답게 어둡고 신비로운 분위기가 더해지는 작품,웬즈데이
영상이나 분위기는 취향이나 대사가 취향이 아니었음 내안의 흑염룡,웬즈데이
후반은 힘이 빠졌지만 캐릭터는 좋았다,웬즈데이
캐릭터들이 매력적이어서 재미있게 봤어요,웬즈데이
머리부터 발 끝까지 기이한 것이 보면 볼 수록 중독적인 맛,웬즈데이
기괴한 팀버튼 스타일로 만든 학교 추리물 어느 정도 예상 가능한 전개 방향 속에서 예측 이상의 스타일이 포인트,웬즈데이
역시 학원물도 이런 어둠침침함이 필요하다 대를 이어 내려온 편견과 악습에 맞서는 시니컬한 요즘 것들의 이야기,웬즈데이
주인공 캐스팅을 정말 잘했고 팀버튼의 연출도 볼만했다 특히 비발디 사계 연주와 주인공이 춤추는 모습은 지금도 생각나서 다시 돌려볼정도,웬즈데이
최근 팀 버튼 감독의 아쉬운 행보가 시리즈를 만나 해결될 것 같다,웬즈데이
초반은 정말 재밌고 독특한 매력이 있었는데 후반은 그냥 뻔하디 뻔하게 변해버려서 좀 아쉬웠다,웬즈데이
로맨스 없어도 재밌는 작품이 아니라 로맨스 없는게 더 재밌을 작품,웬즈데이
웬즈데이 성장과정 상당히 재밌음 씽 귀여움 시즌 빨리 주세요,웬즈데이
캐릭터들도 매력적이고 영상미가 미쳤다,웬즈데이
팀버튼이 있는 전반부와 없는 후반부의 차이가 아쉽,웬즈데이
아는 맛이 맛있다 웬즈데이의 기묘한 분위기와 첼로 연주는 이 집만의 시그니쳐,웬즈데이
잘난 아이의 독선은 과연 재미의 필수불가결한 요소일까 어디까지 캐릭터성으로 이해해줘야 하는지,웬즈데이
얼른 내놔 다음 시즌 안광 죽은 제나 오르테가 너무 좋아요,웬즈데이
